event_id,event_start,implied_probability_away,ML_away,away_team,current_line,current_total,home_team,ML_home,implied_probability_home,line_change,total_change,event_status,opening_line,closing_line,opening_total,closing_total,opening_ML_away,closing_ML_away,opening_ML_home,closing_ML_home,opening_capture_time,closing_capture_time,countdown,capture_time
179631779,2020-12-17 20:20:00-05:00,,,LA Chargers,,,LV Raiders,,,,,,-3.5,,53.0,,165.0,,-195.0,,2020-12-16 11:15:47.978838-05:00,,,
176121455,2020-12-19 16:30:00-05:00,0.71,-245.0,BUF Bills,6.0,48.0,DEN Broncos,210.0,0.32,-0.5,-2.0,NOT_STARTED,6.5,,50.0,,-305.0,,255.0,,2020-12-16 11:15:47.978838-05:00,,0 days 01:19:15.068500,2020-12-19 15:10:44.931500-05:00
179631780,2020-12-19 20:15:00-05:00,0.23,330.0,CAR Panthers,-8.0,52.0,GB Packers,-400.0,0.8,0.5,1.0,NOT_STARTED,-8.5,,51.0,,330.0,,-400.0,,2020-12-16 11:15:47.978838-05:00,,0 days 05:04:15.068500,2020-12-19 15:10:44.931500-05:00
179632598,2020-12-20 13:00:00-05:00,0.15,575.0,JAX Jaguars,-12.0,48.0,BAL Ravens,-770.0,0.89,1.5,1.5,NOT_STARTED,-13.5,,46.5,,600.0,,-1000.0,,2020-12-16 11:15:47.978838-05:00,,0 days 21:49:15.068500,2020-12-19 15:10:44.931500-05:00
175321939,2020-12-20 13:00:00-05:00,0.25,295.0,HOU Texans,-7.5,51.5,IND Colts,-360.0,0.78,0.0,1.0,NOT_STARTED,-7.5,,50.5,,270.0,,-345.0,,2020-12-16 11:15:47.978838-05:00,,0 days 21:49:15.068500,2020-12-19 15:10:44.931500-05:00
179631829,2020-12-20 13:00:00-05:00,0.73,-275.0,SEA Seahawks,6.0,43.5,WAS Football Team,230.0,0.3,0.5,-1.0,NOT_STARTED,5.5,,44.5,,-250.0,,200.0,,2020-12-16 11:15:47.978838-05:00,,0 days 21:49:15.068500,2020-12-19 15:10:44.931500-05:00
179631782,2020-12-20 13:00:00-05:00,0.73,-275.0,TB Buccaneers,6.0,49.0,ATL Falcons,230.0,0.3,0.5,-1.5,NOT_STARTED,5.5,,50.5,,-278.0,,220.0,,2020-12-16 11:15:47.978838-05:00,,0 days 21:49:15.068500,2020-12-19 15:10:44.931500-05:00
179633751,2020-12-20 13:00:00-05:00,0.22,360.0,DET Lions,-9.0,52.5,TEN Titans,-435.0,0.81,1.5,2.0,NOT_STARTED,-10.5,,50.5,,450.0,,-670.0,,2020-12-16 11:15:47.978838-05:00,,0 days 21:49:15.068500,2020-12-19 15:10:44.931500-05:00
176185664,2020-12-20 13:00:00-05:00,0.48,107.0,NE Patriots,-1.5,42.0,MIA Dolphins,-121.0,0.55,0.5,0.5,NOT_STARTED,-2.0,,41.5,,112.0,,-136.0,,2020-12-16 11:15:47.978838-05:00,,0 days 21:49:15.068500,2020-12-19 15:10:44.931500-05:00
179631818,2020-12-20 13:00:00-05:00,0.43,130.0,CHI Bears,-3.0,47.0,MIN Vikings,-150.0,0.6,0.5,0.5,NOT_STARTED,-3.5,,46.5,,150.0,,-182.0,,2020-12-16 11:15:47.978838-05:00,,0 days 21:49:15.068500,2020-12-19 15:10:44.931500-05:00
179631798,2020-12-20 13:00:00-05:00,0.61,-155.0,SF 49ers,3.0,45.0,DAL Cowboys,133.0,0.43,-0.5,-0.5,NOT_STARTED,3.5,,45.5,,-152.0,,125.0,,2020-12-16 11:15:47.978838-05:00,,0 days 21:49:15.068500,2020-12-19 15:10:44.931500-05:00
175163786,2020-12-20 16:05:00-05:00,0.09,1000.0,NY Jets,-17.5,43.5,LA Rams,-1667.0,0.94,-1.0,-1.0,NOT_STARTED,-16.5,,44.5,,900.0,,-2000.0,,2020-12-16 11:15:47.978838-05:00,,1 days 00:54:15.068500,2020-12-19 15:10:44.931500-05:00
175163782,2020-12-20 16:05:00-05:00,0.3,230.0,PHI Eagles,-6.0,49.0,ARI Cardinals,-275.0,0.73,0.5,0.5,NOT_STARTED,-6.5,,48.5,,220.0,,-278.0,,2020-12-16 11:15:47.978838-05:00,,1 days 00:54:15.068500,2020-12-19 15:10:44.931500-05:00
176073583,2020-12-20 16:25:00-05:00,0.63,-167.0,KC Chiefs,3.0,52.5,NO Saints,145.0,0.41,0.5,2.0,NOT_STARTED,2.5,,50.5,,-200.0,,163.0,,2020-12-16 11:15:47.978838-05:00,,1 days 01:14:15.068500,2020-12-19 15:10:44.931500-05:00
175163815,2020-12-20 20:20:00-05:00,0.74,-278.0,CLE Browns,6.5,44.0,NY Giants,240.0,0.29,2.0,-1.5,NOT_STARTED,4.5,,45.5,,-225.0,,180.0,,2020-12-16 11:15:47.978838-05:00,,1 days 05:09:15.068500,2020-12-19 15:10:44.931500-05:00
176185431,2020-12-21 20:15:00-05:00,0.89,-835.0,PIT Steelers,14.0,40.0,CIN Bengals,625.0,0.14,1.5,-0.5,NOT_STARTED,12.5,,40.5,,-770.0,,500.0,,2020-12-16 11:15:47.978838-05:00,,2 days 05:04:15.068500,2020-12-19 15:10:44.931500-05:00
